"اسم الجدول","اسم العمود","نوع البيانات","يقبل قيمة فارغة؟","القيمة الافتراضية","نوع المفتاح/القيود","مرتبط بجدول","مرتبط بعمود"
"competitor_watch","last_code","text","YES",NULL,"",NULL,NULL
"competitor_watch","status","text","YES","'مستقر'::text","",NULL,NULL
"competitor_watch","discount_rate","integer","YES",NULL,"",NULL,NULL
"content_studio_logs","id","integer","NO","nextval('content_studio_logs_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"content_studio_logs","product_name","text","YES",NULL,"",NULL,NULL
"content_studio_logs","platform","text","YES",NULL,"",NULL,NULL
"content_studio_logs","ad_text","text","YES",NULL,"",NULL,NULL
"content_studio_logs","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"content_studio_logs","bg_color","text","YES",NULL,"",NULL,NULL
"content_studio_logs","text_color","text","YES",NULL,"",NULL,NULL
"coupons_view","id","integer","YES",NULL,"",NULL,NULL
"coupons_view","store_id","text","YES",NULL,"",NULL,NULL
"coupons_view","affiliate_link","text","YES",NULL,"",NULL,NULL
"coupons_view","public_coupon","text","YES",NULL,"",NULL,NULL
"coupons_view","extra_offer","text","YES",NULL,"",NULL,NULL
"coupons_view","store_bio","text","YES",NULL,"",NULL,NULL
"coupons_view","priority_score","text","YES",NULL,"",NULL,NULL
"coupons_view","discount_value","text","YES",NULL,"",NULL,NULL
"coupons_view","store_tags","text","YES",NULL,"",NULL,NULL
"coupons_view","my_coupon","text","YES",NULL,"",NULL,NULL
"coupons_view","first_time","date","YES",NULL,"",NULL,NULL
"coupons_view","last_time","date","YES",NULL,"",NULL,NULL
"coupons_view","total_link_clicks","integer","YES",NULL,"",NULL,NULL
"coupons_view","total_coupon_copies","integer","YES",NULL,"",NULL,NULL
"coupons_view","total_search_hits","integer","YES",NULL,"",NULL,NULL
"coupons_view","performance_status","text","YES",NULL,"",NULL,NULL
"coupons_view","visit_categorie","integer","YES",NULL,"",NULL,NULL
"coupons_view","target_category","text","YES",NULL,"",NULL,NULL
"coupons_view","total_clicks","integer","YES",NULL,"",NULL,NULL
"direct_search","id","integer","NO","nextval('direct_search_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"direct_search","search_keyword","text","YES",NULL,"",NULL,NULL
"direct_search","store_id","text","YES",NULL,"",NULL,NULL
"direct_search","search_date","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"direct_search","user_found","boolean","YES",NULL,"",NULL,NULL
"direct_search","platform","text","YES","'Dashboard'::text","",NULL,NULL
"direct_search","name_en","text","YES",NULL,"",NULL,NULL
"email_logs","id","integer","NO","nextval('email_logs_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"email_logs","subject","text","NO",NULL,"",NULL,NULL
"email_logs","body_html","text","YES",NULL,"",NULL,NULL
"email_logs","banner_url","text","YES",NULL,"",NULL,NULL
"email_logs","target_audience","text","YES","'الكل'::text","",NULL,NULL
"email_logs","delivery_count","integer","YES","0","",NULL,NULL
"email_logs","sent_count","integer","YES","0","",NULL,NULL
"email_logs","failed_count","integer","YES","0","",NULL,NULL
"email_logs","status","text","YES","'completed'::text","",NULL,NULL
"email_logs","sent_by","text","YES","'dashboard'::text","",NULL,NULL
"email_logs","sent_at","timestamp with time zone","YES","now()","",NULL,NULL
"flash_offers_queue","offer_id","integer","NO","nextval('flash_offers_queue_offer_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"flash_offers_queue","offer_title","text","NO",NULL,"",NULL,NULL
"flash_offers_queue","reward_points","integer","YES",NULL,"",NULL,NULL
"flash_offers_queue","duration_minutes","integer","YES",NULL,"",NULL,NULL
"flash_offers_queue","target_coupon","text","YES",NULL,"",NULL,NULL
"flash_offers_queue","status","text","YES","'نشط 🔥'::text","",NULL,NULL
"flash_offers_queue","created_at","timestamp without time zone","YES","CURRENT_TIMESTAMP","",NULL,NULL
"franchise_agents","agent_id","integer","NO","nextval('franchise_agents_agent_id_seq'::regclass)","مفتاح أساسي (PK)",NULL,NULL
"franchise_agents","agent_name","text","NO",NULL,"",NULL,NULL
"franchise_agents","region","text","YES",NULL,"",NULL,NULL
"franchise_agents","profit_share","double precision","YES",NULL,"",NULL,NULL
